Protein	Protein ID	Entry Name	Gene	Length	Organism	Protein Description	Protein Existence	Coverage	Protein Probability	Top Peptide Probability	Total Peptides	Unique Peptides	Razor Peptides	Total Spectral Count	Unique Spectral Count	Razor Spectral Count	Total Intensity	Unique Intensity	Razor Intensity	Razor Assigned Modifications	Razor Observed Modifications	Indistinguishable Proteins
sp|P67778|PHB1_MOUSE	P67778	PHB1_MOUSE	Phb1	272	Mus musculus	Prohibitin 1	1:Experimental evidence at protein level	22.43	1.0000	0.9990	3	3	3	20	20	20	     0	     0	     0	26C(57.0214)		
sp|P68040|RACK1_MOUSE	P68040	RACK1_MOUSE	Rack1	317	Mus musculus	Small ribosomal subunit protein RACK1	1:Experimental evidence at protein level	7.26	1.0000	0.9990	2	2	2	2	2	2	     0	     0	     0	N-term(42.0106)		
sp|P68134|ACTS_MOUSE	P68134	ACTS_MOUSE	Acta1	377	Mus musculus	Actin, alpha skeletal muscle	1:Experimental evidence at protein level	50.93	1.0000	0.9990	27	1	1	2114	3	3	     0	     0	     0	14M(15.9949), 8M(15.9949)		
sp|P68368|TBA4A_MOUSE	P68368	TBA4A_MOUSE	Tuba4a	448	Mus musculus	Tubulin alpha-4A chain	1:Experimental evidence at protein level	19.20	1.0000	0.9990	8	1	2	79	2	7	     0	     0	     0	15C(57.0214), 22M(15.9949)		
sp|P68372|TBB4B_MOUSE	P68372	TBB4B_MOUSE	Tubb4b	445	Mus musculus	Tubulin beta-4B chain	1:Experimental evidence at protein level	28.31	1.0000	0.9990	9	1	3	31	3	8	     0	     0	     0	11M(15.9949), 1M(15.9949)		
sp|P68373|TBA1C_MOUSE	P68373	TBA1C_MOUSE	Tuba1c	449	Mus musculus	Tubulin alpha-1C chain	1:Experimental evidence at protein level	24.50	1.0000	0.9990	9	1	9	112	1	112	     0	     0	     0	15C(57.0214), 22M(15.9949)		
sp|P68510|1433F_MOUSE	P68510	1433F_MOUSE	Ywhah	246	Mus musculus	14-3-3 protein eta	1:Experimental evidence at protein level	19.11	1.0000	0.9990	6	2	2	73	10	10	     0	     0	     0	4M(15.9949), 8M(15.9949), N-term(42.0106)		
sp|P70271|PDLI4_MOUSE	P70271	PDLI4_MOUSE	Pdlim4	330	Mus musculus	PDZ and LIM domain protein 4	1:Experimental evidence at protein level	9.09	1.0000	0.9988	2	2	2	5	5	5	     0	     0	     0	N-term(42.0106)		
sp|P70302|STIM1_MOUSE	P70302	STIM1_MOUSE	Stim1	685	Mus musculus	Stromal interaction molecule 1	1:Experimental evidence at protein level	2.77	1.0000	0.9989	2	2	2	2	2	2	     0	     0	     0			
sp|P70663|SPRL1_MOUSE	P70663	SPRL1_MOUSE	Sparcl1	650	Mus musculus	SPARC-like protein 1	1:Experimental evidence at protein level	4.15	1.0000	0.9988	2	2	2	2	2	2	     0	     0	     0			
sp|P80314|TCPB_MOUSE	P80314	TCPB_MOUSE	Cct2	535	Mus musculus	T-complex protein 1 subunit beta	1:Experimental evidence at protein level	9.72	1.0000	0.9990	3	3	3	4	4	4	     0	     0	     0	1M(15.9949)		
sp|P80315|TCPD_MOUSE	P80315	TCPD_MOUSE	Cct4	539	Mus musculus	T-complex protein 1 subunit delta	1:Experimental evidence at protein level	11.87	1.0000	0.9990	5	5	5	8	8	8	     0	     0	     0			
sp|P80316|TCPE_MOUSE	P80316	TCPE_MOUSE	Cct5	541	Mus musculus	T-complex protein 1 subunit epsilon	1:Experimental evidence at protein level	7.39	1.0000	0.9990	2	2	2	4	4	4	     0	     0	     0	12C(57.0214), 23C(57.0214), 31M(15.9949)		
sp|P80317|TCPZ_MOUSE	P80317	TCPZ_MOUSE	Cct6a	531	Mus musculus	T-complex protein 1 subunit zeta	1:Experimental evidence at protein level	6.03	1.0000	0.9990	2	1	2	2	1	2	     0	     0	     0			
sp|P82347|SGCD_MOUSE	P82347	SGCD_MOUSE	Sgcd	289	Mus musculus	Delta-sarcoglycan	1:Experimental evidence at protein level	6.57	1.0000	0.9989	2	2	2	5	5	5	     0	     0	     0			
sp|P84099|RL19_MOUSE	P84099	RL19_MOUSE	Rpl19	196	Mus musculus	Large ribosomal subunit protein eL19	1:Experimental evidence at protein level	8.16	1.0000	0.9990	2	2	2	6	6	6	     0	     0	     0			
sp|P97314|CSRP2_MOUSE	P97314	CSRP2_MOUSE	Csrp2	193	Mus musculus	Cysteine and glycine-rich protein 2	1:Experimental evidence at protein level	12.95	1.0000	0.9990	2	2	2	5	5	5	     0	     0	     0			
sp|P97315|CSRP1_MOUSE	P97315	CSRP1_MOUSE	Csrp1	193	Mus musculus	Cysteine and glycine-rich protein 1	1:Experimental evidence at protein level	41.45	1.0000	0.9990	9	9	9	120	120	120	     0	     0	     0			
sp|P97351|RS3A_MOUSE	P97351	RS3A_MOUSE	Rps3a	264	Mus musculus	Small ribosomal subunit protein eS1	1:Experimental evidence at protein level	21.21	1.0000	0.9990	5	5	5	22	22	22	     0	     0	     0	2M(15.9949), 4M(15.9949)		
sp|P97379|G3BP2_MOUSE	P97379	G3BP2_MOUSE	G3bp2	482	Mus musculus	Ras GTPase-activating protein-binding protein 2	1:Experimental evidence at protein level	4.77	1.0000	0.9990	2	2	2	3	3	3	     0	     0	     0			
sp|P97447|FHL1_MOUSE	P97447	FHL1_MOUSE	Fhl1	280	Mus musculus	Four and a half LIM domains protein 1	1:Experimental evidence at protein level	11.07	1.0000	0.9990	3	3	3	10	10	10	     0	     0	     0			
sp|P97855|G3BP1_MOUSE	P97855	G3BP1_MOUSE	G3bp1	465	Mus musculus	Ras GTPase-activating protein-binding protein 1	1:Experimental evidence at protein level	4.52	1.0000	0.9984	2	2	2	6	6	6	     0	     0	     0			
sp|P97872|FMO5_MOUSE	P97872	FMO5_MOUSE	Fmo5	533	Mus musculus	Flavin-containing monooxygenase 5	1:Experimental evidence at protein level	12.38	1.0000	0.9990	7	7	7	19	19	19	     0	     0	     0			
sp|P97927|LAMA4_MOUSE	P97927	LAMA4_MOUSE	Lama4	1816	Mus musculus	Laminin subunit alpha-4	1:Experimental evidence at protein level	4.13	1.0000	0.9990	9	9	9	37	37	37	     0	     0	     0	19M(15.9949), 3M(15.9949)		
sp|P99024|TBB5_MOUSE	P99024	TBB5_MOUSE	Tubb5	444	Mus musculus	Tubulin beta-5 chain	1:Experimental evidence at protein level	28.38	1.0000	0.9990	8	2	8	49	26	49	     0	     0	     0	10M(15.9949), 1M(15.9949), 2M(15.9949), 5M(15.9949)		
sp|P99027|RLA2_MOUSE	P99027	RLA2_MOUSE	Rplp2	115	Mus musculus	Large ribosomal subunit protein P2	1:Experimental evidence at protein level	31.30	1.0000	0.9990	2	2	2	27	27	27	     0	     0	     0			
sp|Q00623|APOA1_MOUSE	Q00623	APOA1_MOUSE	Apoa1	264	Mus musculus	Apolipoprotein A-I	1:Experimental evidence at protein level	19.32	1.0000	0.9990	5	5	5	19	19	19	     0	     0	     0	10M(15.9949)		
sp|Q01149|CO1A2_MOUSE	Q01149	CO1A2_MOUSE	Col1a2	1372	Mus musculus	Collagen alpha-2(I) chain	1:Experimental evidence at protein level	21.50	1.0000	0.9990	30	30	30	296	296	296	     0	     0	     0	12M(15.9949), 15M(15.9949), 24M(15.9949), 8M(15.9949), 9M(15.9949)		
sp|Q01768|NDKB_MOUSE	Q01768	NDKB_MOUSE	Nme2	152	Mus musculus	Nucleoside diphosphate kinase B	1:Experimental evidence at protein level	28.29	1.0000	0.9990	3	1	3	12	1	12	     0	     0	     0	2M(15.9949)		
sp|Q01853|TERA_MOUSE	Q01853	TERA_MOUSE	Vcp	806	Mus musculus	Transitional endoplasmic reticulum ATPase	1:Experimental evidence at protein level	8.06	1.0000	0.9990	9	9	9	31	31	31	     0	     0	     0	1M(15.9949), 3M(15.9949), 4M(15.9949), 7M(15.9949), N-term(42.0106)		
sp|Q02053|UBA1_MOUSE	Q02053	UBA1_MOUSE	Uba1	1058	Mus musculus	Ubiquitin-like modifier-activating enzyme 1	1:Experimental evidence at protein level	4.35	1.0000	0.9990	4	4	4	8	8	8	     0	     0	     0			
sp|Q02788|CO6A2_MOUSE	Q02788	CO6A2_MOUSE	Col6a2	1034	Mus musculus	Collagen alpha-2(VI) chain	1:Experimental evidence at protein level	11.70	1.0000	0.9990	17	17	17	192	192	192	     0	     0	     0	6M(15.9949)		
sp|Q03173|ENAH_MOUSE	Q03173	ENAH_MOUSE	Enah	802	Mus musculus	Protein enabled homolog	1:Experimental evidence at protein level	2.87	1.0000	0.9989	3	3	3	5	5	5	     0	     0	     0			
sp|Q03265|ATPA_MOUSE	Q03265	ATPA_MOUSE	Atp5f1a	553	Mus musculus	ATP synthase subunit alpha, mitochondrial	1:Experimental evidence at protein level	19.35	1.0000	0.9990	10	10	10	37	37	37	     0	     0	     0	3M(15.9949), 6M(15.9949), 7M(15.9949)		
sp|Q04447|KCRB_MOUSE	Q04447	KCRB_MOUSE	Ckb	381	Mus musculus	Creatine kinase B-type	1:Experimental evidence at protein level	15.75	1.0000	0.9990	6	6	6	241	241	241	     0	     0	     0	17M(15.9949), 19M(15.9949)		
sp|Q04857|CO6A1_MOUSE	Q04857	CO6A1_MOUSE	Col6a1	1025	Mus musculus	Collagen alpha-1(VI) chain	1:Experimental evidence at protein level	13.95	1.0000	0.9990	13	13	13	47	47	47	     0	     0	     0	20M(15.9949)		
sp|Q05793|PGBM_MOUSE	Q05793	PGBM_MOUSE	Hspg2	3707	Mus musculus	Basement membrane-specific heparan sulfate proteoglycan core protein	1:Experimental evidence at protein level	5.99	1.0000	0.9990	20	20	20	98	98	98	     0	     0	     0	10M(15.9949), 1M(15.9949), 2M(15.9949), 3M(15.9949), 5M(15.9949)		
sp|Q07076|ANXA7_MOUSE	Q07076	ANXA7_MOUSE	Anxa7	463	Mus musculus	Annexin A7	1:Experimental evidence at protein level	5.18	1.0000	0.9964	3	3	3	7	7	7	     0	     0	     0	3M(15.9949)		
sp|Q08091|CNN1_MOUSE	Q08091	CNN1_MOUSE	Cnn1	297	Mus musculus	Calponin-1	1:Experimental evidence at protein level	55.22	1.0000	0.9990	23	23	23	542	542	542	     0	     0	     0	10M(15.9949), 16M(15.9949), 18M(15.9949), 2M(15.9949), 6M(15.9949), 7M(15.9949), N-term(42.0106)		
sp|Q3THE2|ML12B_MOUSE	Q3THE2	ML12B_MOUSE	Myl12b	172	Mus musculus	Myosin regulatory light chain 12B	1:Experimental evidence at protein level	38.37	1.0000	0.9989	6	2	2	36	15	15	     0	     0	     0			
sp|Q3TJD7|PDLI7_MOUSE	Q3TJD7	PDLI7_MOUSE	Pdlim7	457	Mus musculus	PDZ and LIM domain protein 7	1:Experimental evidence at protein level	19.04	1.0000	0.9990	9	9	9	31	31	31	     0	     0	     0			
sp|Q3U0V1|FUBP2_MOUSE	Q3U0V1	FUBP2_MOUSE	Khsrp	748	Mus musculus	Far upstream element-binding protein 2	1:Experimental evidence at protein level	16.44	1.0000	0.9990	8	7	8	22	19	22	     0	     0	     0	1M(15.9949), 2M(15.9949)		
sp|Q3U962|CO5A2_MOUSE	Q3U962	CO5A2_MOUSE	Col5a2	1497	Mus musculus	Collagen alpha-2(V) chain	1:Experimental evidence at protein level	5.48	1.0000	0.9990	7	7	7	17	17	17	     0	     0	     0	10M(15.9949), 5M(15.9949), 9M(15.9949)		
sp|Q3UJB0|SF3B2_MOUSE	Q3UJB0	SF3B2_MOUSE	Sf3b2	878	Mus musculus	Splicing factor 3B subunit 2	2:Experimental evidence at transcript level	3.30	1.0000	0.9990	2	2	2	10	10	10	     0	     0	     0			
sp|Q3UMT1|PP12C_MOUSE	Q3UMT1	PP12C_MOUSE	Ppp1r12c	782	Mus musculus	Protein phosphatase 1 regulatory subunit 12C	1:Experimental evidence at protein level	14.83	1.0000	0.9990	11	11	11	40	40	40	     0	     0	     0			
sp|Q3URD3|SLMAP_MOUSE	Q3URD3	SLMAP_MOUSE	Slmap	845	Mus musculus	Sarcolemmal membrane-associated protein	1:Experimental evidence at protein level	5.56	1.0000	0.9990	5	5	5	16	16	16	     0	     0	     0			
sp|Q3UTJ2|SRBS2_MOUSE	Q3UTJ2	SRBS2_MOUSE	Sorbs2	1180	Mus musculus	Sorbin and SH3 domain-containing protein 2	1:Experimental evidence at protein level	6.53	1.0000	0.9990	6	6	6	21	21	21	     0	     0	     0			
sp|Q3UW53|NIBA1_MOUSE	Q3UW53	NIBA1_MOUSE	Niban1	926	Mus musculus	Protein Niban 1	1:Experimental evidence at protein level	3.67	1.0000	0.9990	4	4	4	8	8	8	     0	     0	     0	3M(15.9949)		
sp|Q3V3R4|ITA1_MOUSE	Q3V3R4	ITA1_MOUSE	Itga1	1179	Mus musculus	Integrin alpha-1	1:Experimental evidence at protein level	1.78	1.0000	0.9982	2	2	2	5	5	5	     0	     0	     0			
sp|Q501J6|DDX17_MOUSE	Q501J6	DDX17_MOUSE	Ddx17	650	Mus musculus	Probable ATP-dependent RNA helicase DDX17	1:Experimental evidence at protein level	5.69	1.0000	0.9990	2	2	2	20	20	20	     0	     0	     0			
sp|Q569Z6|TR150_MOUSE	Q569Z6	TR150_MOUSE	Thrap3	951	Mus musculus	Thyroid hormone receptor-associated protein 3	1:Experimental evidence at protein level	5.78	1.0000	0.9990	4	4	4	67	67	67	     0	     0	     0			
sp|Q60598|SRC8_MOUSE	Q60598	SRC8_MOUSE	Cttn	546	Mus musculus	Src substrate cortactin	1:Experimental evidence at protein level	11.54	1.0000	0.9990	6	6	6	18	18	18	     0	     0	     0			
sp|Q60605|MYL6_MOUSE	Q60605	MYL6_MOUSE	Myl6	151	Mus musculus	Myosin light polypeptide 6	1:Experimental evidence at protein level	62.91	1.0000	0.9990	11	7	11	292	273	292	     0	     0	     0	10M(15.9949), 11M(15.9949), 4M(15.9949), 7M(15.9949)		
sp|Q60749|KHDR1_MOUSE	Q60749	KHDR1_MOUSE	Khdrbs1	443	Mus musculus	KH domain-containing, RNA-binding, signal transduction-associated protein 1	1:Experimental evidence at protein level	4.29	1.0000	0.9990	3	2	3	5	2	5	     0	     0	     0			
sp|Q60847|COCA1_MOUSE	Q60847	COCA1_MOUSE	Col12a1	3120	Mus musculus	Collagen alpha-1(XII) chain	2:Experimental evidence at transcript level	5.96	1.0000	0.9990	21	21	21	70	70	70	     0	     0	     0	4M(15.9949), 7M(15.9949)		
sp|Q60854|SPB6_MOUSE	Q60854	SPB6_MOUSE	Serpinb6	378	Mus musculus	Serpin B6	1:Experimental evidence at protein level	4.50	1.0000	0.9988	2	1	2	6	3	6	     0	     0	     0	3M(15.9949)		
sp|Q60864|STIP1_MOUSE	Q60864	STIP1_MOUSE	Stip1	543	Mus musculus	Stress-induced-phosphoprotein 1	1:Experimental evidence at protein level	4.60	1.0000	0.9990	2	2	2	12	12	12	     0	     0	     0	6M(15.9949)		
sp|Q61001|LAMA5_MOUSE	Q61001	LAMA5_MOUSE	Lama5	3718	Mus musculus	Laminin subunit alpha-5	1:Experimental evidence at protein level	1.13	1.0000	0.9990	4	4	4	23	23	23	     0	     0	     0			
sp|Q61166|MARE1_MOUSE	Q61166	MARE1_MOUSE	Mapre1	268	Mus musculus	Microtubule-associated protein RP/EB family member 1	1:Experimental evidence at protein level	16.79	1.0000	0.9990	3	3	3	19	19	19	     0	     0	     0	5M(15.9949)		
sp|Q61292|LAMB2_MOUSE	Q61292	LAMB2_MOUSE	Lamb2	1799	Mus musculus	Laminin subunit beta-2	1:Experimental evidence at protein level	9.78	1.0000	0.9990	17	17	17	82	82	82	     0	     0	     0	3M(15.9949), 5M(15.9949)		
sp|Q61316|HSP74_MOUSE	Q61316	HSP74_MOUSE	Hspa4	841	Mus musculus	Heat shock 70 kDa protein 4	1:Experimental evidence at protein level	6.06	1.0000	0.9989	5	5	5	10	10	10	     0	     0	     0			
sp|Q61335|BAP31_MOUSE	Q61335	BAP31_MOUSE	Bcap31	245	Mus musculus	B-cell receptor-associated protein 31	1:Experimental evidence at protein level	15.10	1.0000	0.9987	3	3	3	3	3	3	     0	     0	     0	8M(15.9949)		
sp|Q61414|K1C15_MOUSE	Q61414	K1C15_MOUSE	Krt15	452	Mus musculus	Keratin, type I cytoskeletal 15	1:Experimental evidence at protein level	14.82	1.0000	0.9990	7	2	4	18	6	8	     0	     0	     0	3M(15.9949)		
sp|Q61545|EWS_MOUSE	Q61545	EWS_MOUSE	Ewsr1	655	Mus musculus	RNA-binding protein EWS	1:Experimental evidence at protein level	5.04	1.0000	0.9990	2	2	2	30	30	30	     0	     0	     0	11M(15.9949), 14M(15.9949)		
sp|Q61554|FBN1_MOUSE	Q61554	FBN1_MOUSE	Fbn1	2873	Mus musculus	Fibrillin-1	1:Experimental evidence at protein level	1.11	1.0000	0.9985	4	3	4	12	9	12	     0	     0	     0			
sp|Q61598|GDIB_MOUSE	Q61598	GDIB_MOUSE	Gdi2	445	Mus musculus	Rab GDP dissociation inhibitor beta	1:Experimental evidence at protein level	6.52	1.0000	0.9990	3	2	3	9	8	9	     0	     0	     0	11M(15.9949)		
sp|Q61646|HPT_MOUSE	Q61646	HPT_MOUSE	Hp	347	Mus musculus	Haptoglobin	1:Experimental evidence at protein level	4.90	1.0000	0.9980	2	2	2	3	3	3	     0	     0	     0			
sp|Q61656|DDX5_MOUSE	Q61656	DDX5_MOUSE	Ddx5	614	Mus musculus	Probable ATP-dependent RNA helicase DDX5	1:Experimental evidence at protein level	8.79	1.0000	0.9990	5	5	5	44	44	44	     0	     0	     0	N-term(42.0106)		
sp|Q61699|HS105_MOUSE	Q61699	HS105_MOUSE	Hsph1	858	Mus musculus	Heat shock protein 105 kDa	1:Experimental evidence at protein level	2.10	1.0000	0.9983	2	2	2	4	4	4	     0	     0	     0			
sp|Q61768|KINH_MOUSE	Q61768	KINH_MOUSE	Kif5b	963	Mus musculus	Kinesin-1 heavy chain	1:Experimental evidence at protein level	3.43	1.0000	0.9990	3	2	3	6	5	6	     0	     0	     0			
sp|Q61792|LASP1_MOUSE	Q61792	LASP1_MOUSE	Lasp1	263	Mus musculus	LIM and SH3 domain protein 1	1:Experimental evidence at protein level	17.11	1.0000	0.9990	4	4	4	15	15	15	     0	     0	     0	1M(15.9949)		
sp|Q61937|NPM_MOUSE	Q61937	NPM_MOUSE	Npm1	292	Mus musculus	Nucleophosmin	1:Experimental evidence at protein level	24.66	1.0000	0.9990	6	6	6	467	467	467	     0	     0	     0	20M(15.9949)		
sp|Q62000|MIME_MOUSE	Q62000	MIME_MOUSE	Ogn	298	Mus musculus	Mimecan	1:Experimental evidence at protein level	11.41	1.0000	0.9988	4	4	4	8	8	8	     0	     0	     0	5M(15.9949)		
sp|Q62009|POSTN_MOUSE	Q62009	POSTN_MOUSE	Postn	838	Mus musculus	Periostin	1:Experimental evidence at protein level	2.63	1.0000	0.9990	2	2	2	5	5	5	     0	     0	     0			
sp|Q62093|SRSF2_MOUSE	Q62093	SRSF2_MOUSE	Srsf2	221	Mus musculus	Serine/arginine-rich splicing factor 2	1:Experimental evidence at protein level	10.41	1.0000	0.9987	3	3	3	7	7	7	     0	     0	     0			
sp|Q62188|DPYL3_MOUSE	Q62188	DPYL3_MOUSE	Dpysl3	570	Mus musculus	Dihydropyrimidinase-related protein 3	1:Experimental evidence at protein level	12.81	1.0000	0.9990	7	4	7	44	28	44	     0	     0	     0	1M(15.9949)		
sp|Q62261|SPTB2_MOUSE	Q62261	SPTB2_MOUSE	Sptbn1	2363	Mus musculus	Spectrin beta chain, non-erythrocytic 1	1:Experimental evidence at protein level	7.70	1.0000	0.9990	16	16	16	55	55	55	     0	     0	     0	1M(15.9949), 9M(15.9949)		
sp|Q62318|TIF1B_MOUSE	Q62318	TIF1B_MOUSE	Trim28	834	Mus musculus	Transcription intermediary factor 1-beta	1:Experimental evidence at protein level	3.72	1.0000	0.9990	2	2	2	4	4	4	     0	     0	     0	16M(15.9949)		
sp|Q62417|SRBS1_MOUSE	Q62417	SRBS1_MOUSE	Sorbs1	1290	Mus musculus	Sorbin and SH3 domain-containing protein 1	1:Experimental evidence at protein level	12.95	1.0000	0.9990	17	17	17	107	107	107	     0	     0	     0	3M(15.9949), 5M(15.9949)		
sp|Q62418|DBNL_MOUSE	Q62418	DBNL_MOUSE	Dbnl	436	Mus musculus	Drebrin-like protein	1:Experimental evidence at protein level	10.78	1.0000	0.9990	3	3	3	3	3	3	     0	     0	     0			
sp|Q62465|VAT1_MOUSE	Q62465	VAT1_MOUSE	Vat1	406	Mus musculus	Synaptic vesicle membrane protein VAT-1 homolog	1:Experimental evidence at protein level	7.39	1.0000	0.9990	3	3	3	22	22	22	     0	     0	     0			
sp|Q62523|ZYX_MOUSE	Q62523	ZYX_MOUSE	Zyx	564	Mus musculus	Zyxin	1:Experimental evidence at protein level	23.05	1.0000	0.9990	8	8	8	49	49	49	     0	     0	     0			
sp|Q63918|CAVN2_MOUSE	Q63918	CAVN2_MOUSE	Cavin2	418	Mus musculus	Caveolae-associated protein 2	1:Experimental evidence at protein level	16.51	1.0000	0.9990	7	7	7	19	19	19	     0	     0	     0	5M(15.9949)		
sp|Q64152|BTF3_MOUSE	Q64152	BTF3_MOUSE	Btf3	204	Mus musculus	Transcription factor BTF3	1:Experimental evidence at protein level	13.73	1.0000	0.9990	1	1	1	5	5	5	     0	     0	     0	14M(15.9949)		
sp|Q64314|CD34_MOUSE	Q64314	CD34_MOUSE	Cd34	382	Mus musculus	Hematopoietic progenitor cell antigen CD34	1:Experimental evidence at protein level	7.85	1.0000	0.9989	3	3	3	7	7	7	     0	     0	     0			
sp|Q64433|CH10_MOUSE	Q64433	CH10_MOUSE	Hspe1	102	Mus musculus	10 kDa heat shock protein, mitochondrial	1:Experimental evidence at protein level	28.43	1.0000	0.9990	3	3	3	14	14	14	     0	     0	     0			
sp|Q64442|DHSO_MOUSE	Q64442	DHSO_MOUSE	Sord	357	Mus musculus	Sorbitol dehydrogenase	1:Experimental evidence at protein level	4.48	1.0000	0.9978	2	2	2	3	3	3	     0	     0	     0			
sp|Q64523|H2A2C_MOUSE	Q64523	H2A2C_MOUSE	H2ac20	129	Mus musculus	Histone H2A type 2-C	1:Experimental evidence at protein level	41.09	1.0000	0.9990	8	0	8	722	0	722	     0	     0	     0			sp|Q6GSS7|H2A2A_MOUSE
sp|Q64727|VINC_MOUSE	Q64727	VINC_MOUSE	Vcl	1066	Mus musculus	Vinculin	1:Experimental evidence at protein level	25.98	1.0000	0.9990	26	26	26	170	170	170	     0	     0	     0	10M(15.9949), 11M(15.9949), 5M(15.9949), 6M(15.9949), 7M(15.9949), 9M(15.9949)		
sp|Q68FD5|CLH1_MOUSE	Q68FD5	CLH1_MOUSE	Cltc	1675	Mus musculus	Clathrin heavy chain 1	1:Experimental evidence at protein level	5.43	1.0000	0.9990	8	8	8	30	30	30	     0	     0	     0			
sp|Q69ZN7|MYOF_MOUSE	Q69ZN7	MYOF_MOUSE	Myof	2048	Mus musculus	Myoferlin	1:Experimental evidence at protein level	1.86	1.0000	0.9990	3	3	3	9	9	9	     0	     0	     0			
sp|Q6A0A9|F120A_MOUSE	Q6A0A9	F120A_MOUSE	FAM120A	1112	Mus musculus	Constitutive coactivator of PPAR-gamma-like protein 1	1:Experimental evidence at protein level	2.61	1.0000	0.9990	2	2	2	9	9	9	     0	     0	     0			
sp|Q6IRU5|CLCB_MOUSE	Q6IRU5	CLCB_MOUSE	Cltb	229	Mus musculus	Clathrin light chain B	1:Experimental evidence at protein level	11.35	1.0000	0.9983	3	3	3	9	9	9	     0	     0	     0			
sp|Q6PDL0|DC1L2_MOUSE	Q6PDL0	DC1L2_MOUSE	Dync1li2	492	Mus musculus	Cytoplasmic dynein 1 light intermediate chain 2	1:Experimental evidence at protein level	9.76	1.0000	0.9990	3	3	3	5	5	5	     0	     0	     0			
sp|Q6PDN3|MYLK_MOUSE	Q6PDN3	MYLK_MOUSE	Mylk	1941	Mus musculus	Myosin light chain kinase, smooth muscle	1:Experimental evidence at protein level	12.47	1.0000	0.9990	28	27	28	168	164	168	     0	     0	     0	10M(15.9949), 3M(15.9949), 4M(15.9949), 6M(15.9949), 8M(15.9949)		
sp|Q6Q477|AT2B4_MOUSE	Q6Q477	AT2B4_MOUSE	Atp2b4	1205	Mus musculus	Plasma membrane calcium-transporting ATPase 4	1:Experimental evidence at protein level	1.83	1.0000	0.9986	2	2	2	4	4	4	     0	     0	     0	1M(15.9949)		
sp|Q6W8Q3|PC4L1_MOUSE	Q6W8Q3	PC4L1_MOUSE	Pcp4l1	68	Mus musculus	Purkinje cell protein 4-like protein 1	1:Experimental evidence at protein level	32.35	1.0000	0.9990	2	2	2	5	5	5	     0	     0	     0			
sp|Q6ZWN5|RS9_MOUSE	Q6ZWN5	RS9_MOUSE	Rps9	194	Mus musculus	Small ribosomal subunit protein uS4	1:Experimental evidence at protein level	9.28	1.0000	0.9959	2	2	2	7	7	7	     0	     0	     0			
sp|Q6ZWV7|RL35_MOUSE	Q6ZWV7	RL35_MOUSE	Rpl35	123	Mus musculus	Large ribosomal subunit protein uL29	1:Experimental evidence at protein level	17.89	1.0000	0.9989	2	2	2	5	5	5	     0	     0	     0			
sp|Q70IV5|SYNEM_MOUSE	Q70IV5	SYNEM_MOUSE	Synm	1561	Mus musculus	Synemin	1:Experimental evidence at protein level	23.57	1.0000	0.9990	42	42	42	315	315	315	     0	     0	     0	2M(15.9949), 6M(15.9949)		
sp|Q76MZ3|2AAA_MOUSE	Q76MZ3	2AAA_MOUSE	Ppp2r1a	589	Mus musculus	Serine/threonine-protein phosphatase 2A 65 kDa regulatory subunit A alpha isoform	1:Experimental evidence at protein level	5.09	1.0000	0.9990	3	3	3	13	13	13	     0	     0	     0	1M(15.9949), 2M(15.9949)		
sp|Q7TPR4|ACTN1_MOUSE	Q7TPR4	ACTN1_MOUSE	Actn1	892	Mus musculus	Alpha-actinin-1	1:Experimental evidence at protein level	10.99	1.0000	0.9990	9	6	8	78	56	75	     0	     0	     0	7M(15.9949), 8M(15.9949)		
sp|Q80UG5|SEPT9_MOUSE	Q80UG5	SEPT9_MOUSE	Septin9	583	Mus musculus	Septin-9	1:Experimental evidence at protein level	9.43	1.0000	0.9989	5	5	5	11	11	11	     0	     0	     0			
sp|Q80X19|COEA1_MOUSE	Q80X19	COEA1_MOUSE	Col14a1	1797	Mus musculus	Collagen alpha-1(XIV) chain	1:Experimental evidence at protein level	4.62	1.0000	0.9990	7	7	7	15	15	15	     0	     0	     0	10M(15.9949), 8M(15.9949)		
sp|Q80X90|FLNB_MOUSE	Q80X90	FLNB_MOUSE	Flnb	2602	Mus musculus	Filamin-B	1:Experimental evidence at protein level	2.54	1.0000	0.9990	8	3	3	63	27	27	     0	     0	     0			
sp|Q8BFW7|LPP_MOUSE	Q8BFW7	LPP_MOUSE	Lpp	613	Mus musculus	Lipoma-preferred partner homolog	1:Experimental evidence at protein level	25.12	1.0000	0.9990	14	14	14	175	175	175	     0	     0	     0	17M(15.9949), 1M(15.9949), 9M(15.9949), N-term(42.0106)		
sp|Q8BFZ3|ACTBL_MOUSE	Q8BFZ3	ACTBL_MOUSE	Actbl2	376	Mus musculus	Beta-actin-like protein 2	1:Experimental evidence at protein level	26.33	1.0000	0.9987	10	3	3	248	10	10	     0	     0	     0	13C(57.0214), 13M(15.9949)		
sp|Q8BG05|ROA3_MOUSE	Q8BG05	ROA3_MOUSE	Hnrnpa3	379	Mus musculus	Heterogeneous nuclear ribonucleoprotein A3	1:Experimental evidence at protein level	19.79	1.0000	0.9990	5	4	4	27	21	21	     0	     0	     0			
